alternate endings,[ 0.00435051  0.01636909 -0.01593331  0.00129204  0.03116459]
alternate history,[-0.01363735 -0.01318296 -0.02273362 -0.00357933  0.00710819]
alternate reality,[-0.0280397   0.02312645 -0.00867701  0.06085489  0.0010885 ]
alternate universe,[-0.01333296 -0.00079178 -0.01648784  0.0198434  -0.01797964]
amazing cinematography,"[ 3.56251320e-02 -3.35893079e-03 -1.00768121e-02  5.80744325e-02
  1.03674141e-05]"
amazing photography,[ 0.0384083  -0.00928582 -0.03025151  0.02494686  0.00457088]
american civil war,[-0.00829149 -0.01020479  0.00605572 -0.00476428  0.01395916]
amnesia,[-0.00744142  0.00502395  0.00232281  0.00599449  0.02473414]
amy smart,[-0.03445646 -0.00131991  0.01626008 -0.02922178 -0.00195392]
android(s)/cyborg(s),[-0.02891033  0.01387361 -0.00886472  0.03096437  0.00331745]
androids,[-0.01542442  0.00622529  0.00478301  0.02375427  0.00734284]
animal movie,[-0.01642795 -0.02423718  0.01065752  0.01485998 -0.00708875]
animals,[-0.03579197 -0.02883372  0.00144398  0.02110841 -0.01427101]
animated,[-0.01740341 -0.0232911   0.00809364  0.03217399 -0.0246205 ]
animation,[-0.02641841 -0.02361635  0.00871714  0.04528135 -0.03455542]
anime,[-0.00968914  0.00045661  0.01551673  0.01864971 -0.00210434]
antarctica,[-0.01419897 -0.00026588  0.007665    0.00956904  0.02225374]
anti-hero,[ 0.01436424  0.03919931 -0.04096637 -0.02683103 -0.04870563]
anti-semitism,[ 0.0027752  -0.02124359  0.00210552 -0.01406103  0.0246692 ]
anti-war,[ 0.00522211 -0.01160817  0.00152864 -0.00333208  0.01434465]
apocalypse,[-0.01599389  0.02981485 -0.03049162  0.05230771 -0.02154009]
archaeology,[-0.01625481 -0.00270394  0.00703039  0.00476787  0.00947253]
argentina,[-0.00601191 -0.00494642  0.01339872  0.00326871  0.02005584]
arms dealer,[-0.02297809  0.00115856 -0.01393101 -0.01381478  0.01071258]
arnold,[-0.01673173 -0.00034493  0.01033155 -0.00241211  0.00794404]
art,[0.0485765  0.00868686 0.03594376 0.05432526 0.00777274]
art house,[0.03133134 0.03789269 0.08528903 0.04360036 0.03241085]
artificial intelligence,[-0.01466354  0.00474315 -0.00214197  0.02667767  0.00992078]
artist,[ 0.02626923 -0.01135778  0.04724713  0.02746635  0.01661907]
artistic,[ 0.06531687 -0.00871761  0.0255651   0.06181787 -0.01573191]
artsy,[0.02270157 0.02267894 0.04347029 0.02702373 0.00611404]
assassin,[-0.00629046  0.02633037 -0.04629413 -0.02998443  0.01768204]
assassination,[ 0.03651309  0.02316573 -0.05514105 -0.0423833   0.04326354]
assassins,[-0.00913484  0.01478004 -0.02115625 -0.02492775  0.02793522]
astronauts,[-0.01554201 -0.00060486 -0.00471729  0.031553    0.01528025]
atheism,[-0.00531013 -0.01666463  0.00355003  0.01042026  0.0201539 ]
atmospheric,[ 0.06570661  0.05925616 -0.01114421  0.04247696 -0.00677879]
australia,[-0.00254252 -0.00935071  0.01684415 -0.00593574  0.00221179]
australian,[-0.0104837  -0.0066921   0.01615381 -0.00599301  0.01170835]
author:alan moore,[-0.01600138 -0.0008755   0.0092219   0.00192331  0.01032159]
author:neil gaiman,[-0.00928859 -0.0051605   0.01881968  0.01617387 -0.00122963]
autism,[-0.00811115 -0.00947763  0.0086776  -0.00277102  0.01078292]
aviation,[-0.01606727 -0.00959259  0.00241915 -0.00143272  0.01255693]
awesome,[ 0.00044577 -0.00083856 -0.03164843  0.00632029 -0.04317359]
awesome soundtrack,[-0.00627449 -0.00673869 -0.00803761 -0.00320933 -0.07786614]
awful,[-0.03950949  0.01028865  0.01216739  0.00314737  0.024983  ]
bad,[-0.06318341  0.01751865  0.00714444 -0.01401477  0.01822789]
bad acting,[-0.06946669  0.03744146 -0.007024    0.00830392  0.03037071]
bad cgi,[-0.06870026  0.01473562 -0.01224637  0.03661068  0.02181962]
bad ending,[-0.00660391  0.04403749 -0.02199876 -0.00323392  0.04248619]
bad plot,[-0.09118691  0.02513639  0.00553146  0.00232126  0.0383502 ]
bad science,[-0.04206102  0.01265065 -0.00832947  0.03450549  0.02158604]
bad script,[-0.04023331  0.0128782   0.00367472  0.00579984  0.02582412]
bad sequel,[-0.01843144 -0.00182165  0.01422912 -0.00190415  0.01125183]
ballet,[-0.00936723 -0.00641951  0.01776121 -0.00071396  0.01089953]
bank robbery,[-0.00987736  0.01175481 -0.00502208 -0.02836425  0.01234887]
baseball,[-0.0125501  -0.00787127  0.01417208 -0.00596867  0.00843159]
based on a book,[ 0.01130181 -0.02754475 -0.05255417  0.00644882  0.02766747]
based on a comic,[-0.03209057  0.01500941 -0.00906197  0.01491896 -0.02104356]
based on a play,[ 0.03340207 -0.04494978  0.00636976 -0.03584801  0.0225393 ]
based on a true story,[ 0.01615612 -0.04495714 -0.03824813 -0.03335165  0.02691268]
based on a tv show,[-0.02994744 -0.0005994   0.00998567  0.00011516 -0.00816173]
based on a video game,[-0.03958408  0.00737589  0.00965247  0.00273996  0.0117036 ]
based on book,[ 0.02154939 -0.03949482 -0.06119982  0.00366029 -0.00544263]
based on comic,[-0.01796999  0.00479995 -0.00050142  0.00748203 -0.01014389]
based on true story,[ 0.0092333  -0.05616074 -0.04192902 -0.03400899  0.0273198 ]
basketball,[-0.01634604 -0.00905623  0.01559281 -0.01010559  0.00762479]
batman,[-0.0129819  -0.00111467  0.01178914 -0.00259069  0.00587804]
bdsm,[-0.00813646  0.01334434  0.03592451 -0.01889988  0.03370562]
beatles,[-0.01031822 -0.00405205  0.01766309 -0.00392915  0.0081102 ]
beautiful,[ 0.03501251 -0.03697336  0.01452155  0.06425224  0.01277365]
beautiful scenery,[ 0.02492925 -0.06420125 -0.04088618  0.07042534  0.0338415 ]
beautifully filmed,[ 0.06375541 -0.044792    0.01428959  0.09997456  0.00271111]
beauty pageant,[-0.00983193 -0.01047182  0.01843951 -0.01259407  0.00870531]
beer,[-0.01867072  0.00259045  0.02081216 -0.02832577 -0.03640472]
berlin,[ 0.01015355 -0.01307417  0.01359034  0.00155891  0.02239119]
best of 2005,[ 0.0056463  -0.0031036  -0.00772951 -0.00965958  0.00226406]
best war films,[ 0.00562983 -0.02092897 -0.02138116 -0.00983091  0.02191886]
betrayal,[ 0.02401417 -0.00546013 -0.07191215 -0.02591037  0.05825483]
better than expected,[-0.03645573 -0.01267283 -0.0330851   0.0050098   0.01728737]
better than the american version,[-0.0072006   0.00324769  0.01888079  0.00351954  0.01478485]
biblical,[-0.01028623 -0.00285112  0.0049508   0.01413886  0.01308863]
big budget,[-0.08533371  0.00514885 -0.08894926  0.06158106  0.0061056 ]
biographical,[ 0.02834012 -0.04822226 -0.01272399 -0.01176244 -0.00767391]
biography,[ 0.02099253 -0.03353703 -0.006823   -0.00955155 -0.00351505]
biopic,[ 0.02303916 -0.03529931 -0.01026009 -0.01158632 -0.00671533]
birds,[-0.01063394 -0.00391506  0.01390483  0.00316512  0.01069048]
biting,[ 0.037622    0.01735502  0.02811977 -0.00598262 -0.00756986]
bittersweet,[ 0.0522316  -0.07468838  0.02945873  0.03184766 -0.03940947]
bizarre,[ 0.00564182  0.05560128  0.04303965  0.02086651 -0.00194116]
black and white,[ 0.06387181 -0.00533727  0.01154752  0.03069227 -0.00083044]
black comedy,[ 0.02501553  0.04350169  0.0386944  -0.02837523 -0.03558131]
blaxploitation,[-0.0113768   0.00570967  0.01762314 -0.01257547 -0.00367064]
bleak,[ 0.09777002  0.03611346  0.04061926  0.03769214 -0.02347884]
blindness,[-0.00155408  0.00367197 -0.00640719  0.00090484  0.03084376]
blood,[ 0.00588273  0.07005058 -0.00781261 -0.02007378 -0.03631907]
bloody,[ 0.00720665  0.0885004   0.00174856 -0.03932354 -0.03516156]
boarding school,[-0.0105861  -0.01400253  0.01633032 -0.00480511  0.01008676]
boat,[-0.00818448 -0.00680771  0.0037994   0.00426525  0.02085281]
bollywood,[ 0.00622135 -0.03488248  0.01402645  0.00621885  0.01525817]
bombs,[-0.00730445 -0.00593761 -0.0083304  -0.00793537  0.03383147]
bond,[-0.01775344 -0.00555627  0.00373015 -0.00733802  0.01139096]
book,[ 0.00026906 -0.01626424 -0.01143269  0.00441134  0.01645463]
book was better,[-0.01267003 -0.01866353 -0.01057887  0.01364961  0.01966603]
books,[-0.00843841 -0.02552957 -0.02105951  0.0030541   0.01702513]
boring,[-0.03695355  0.01054906  0.03256666 -0.00222386  0.02956814]
boring!,[-0.01296689  0.01470599  0.02488095  0.01311415  0.0274289 ]
boston,[-0.00490392 -0.0087797  -0.00878555 -0.02725543  0.01561023]
bowling,[-0.00470489  0.00079762  0.01821786 -0.00643487 -0.00035643]
boxing,[-0.00502943 -0.00821389  0.0057221  -0.00469274 -0.0003843 ]
brainwashing,[ 0.0237362   0.00929563 -0.01464362 -0.00320772  0.02763556]
brazil,[-0.00486825 -0.00537029  0.01701016  0.00105957  0.01290022]
breathtaking,[ 0.06509909 -0.01304974 -0.00393118  0.09367918  0.00689356]
brilliant,[ 0.00183551 -0.00064444  0.00361463 -0.0025825  -0.00339031]
british,[ 0.03335734 -0.02859324 -0.01845369 -0.01031114 -0.00883553]
british comedy,[ 0.00503219 -0.01027345  0.01288305 -0.01233091 -0.02193921]
broadway,[-0.00839683 -0.01972773  0.01783719 -0.00779224  0.00964748]
brothers,[ 0.01223643 -0.01315613 -0.00148848 -0.01667012 -0.02905401]
brutal,[ 0.03038177  0.06660427 -0.01799697 -0.05183413 -0.00649815]
brutality,[ 0.02743333  0.08016715  0.00071195 -0.05199072 -0.01079032]
buddy movie,[-0.02978133  0.00364979 -0.01687316 -0.04187799 -0.05891287]
bullshit history,[-0.02372729 -0.01037723 -0.01620221 -0.00265642  0.0141949 ]
bullying,[-0.00638231 -0.00998667  0.01312176 -0.02372781 -0.03225392]
business,[ 0.00678137 -0.01013379 -0.01288292 -0.04047072  0.02228214]
c.s. lewis,[-0.01253709 -0.01115887  0.01222962 -0.00295246  0.01165148]
california,[ 0.03160108 -0.01018779 -0.01392247 -0.04279097 -0.02076125]
camp,[-0.03940054  0.01882303  0.01511761 -0.01689207 -0.01093275]
campy,[-0.04769277  0.04351192  0.0204509   0.0034811  -0.01803171]
canada,[ 0.00326495 -0.01438094  0.02109476 -0.01114425  0.01562268]
cancer,[-0.00051869 -0.0288741   0.01204821 -0.00229232 -0.00559843]
cannibalism,[-0.00757089  0.02572149  0.01886642 -0.01073424  0.00345239]
caper,[ 0.00209741  0.01603017 -0.02448304 -0.04211327  0.00797243]
capitalism,[ 0.00311847 -0.01239359  0.00215913 -0.01635552  0.03007241]
car chase,[-0.03229757  0.02013609 -0.03296139 -0.02059573  0.01635134]
carrie-anne moss,[-0.01279494  0.00187443  0.00347557  0.00831129  0.0153106 ]
cars,[-0.0177559   0.00934549  0.00364582 -0.01276917  0.00566707]
cartoon,[-0.03069958 -0.02471009  0.005903    0.02485057 -0.02897901]
casino,[-0.00936268  0.00016314  0.00711772 -0.01377017  0.0088478 ]
catastrophe,[-0.02253902 -0.01658659 -0.02141504  0.0182188   0.03394371]
cathartic,[ 0.02824792 -0.00353223  0.02432229  0.00260043 -0.00258925]
catholicism,[ 0.0008776  -0.01001483  0.01928662 -0.00396179  0.02190352]
censorship,[ 0.03285205  0.00200418  0.01312798 -0.03557508  0.01038038]
cerebral,[ 0.07254663  0.05140343 -0.0043285   0.0755282   0.00308128]
cgi,[-0.03791357  0.00433255 -0.02957742  0.06916576 -0.0118643 ]
character study,[ 0.08583788  0.00061754  0.01774616 -0.02073433 -0.01587664]
chase,[-0.036133    0.02816878 -0.11668479 -0.03095807 -0.02131372]
cheating,[ 0.00667894 -0.0058306   0.00830184 -0.03411642  0.04389574]
cheerleading,[-0.01865512 -0.00944617  0.03076284 -0.03564384 -0.00968759]
cheesy,[-0.05480596  0.00514737 -0.00237366  0.01418546 -0.00269253]
chess,[-0.00400113 -0.00505856  0.00615406 -0.00440457  0.01350628]
chicago,[-0.01148235 -0.00654597  0.00833563 -0.01227521  0.00826637]
chick flick,[-0.03802331 -0.0750817   0.02530531 -0.03532079  0.03910189]
child abuse,[ 0.0031406  -0.00292546  0.01667342 -0.01122513  0.01188349]
childhood,[ 0.02683566 -0.07489957 -0.00699414  0.05533233 -0.06334854]
children,[-0.02484159 -0.06744204 -0.00989674  0.03137033 -0.01899932]
china,[-0.00848282 -0.00774536  0.01108042  0.00992277  0.00955149]
chocolate,[-0.01165895 -0.01811247  0.00827671  0.00401281  0.00788911]
chris tucker,[-0.01290425 -0.00317118  0.01242051 -0.00505154  0.00497399]
christian,[-0.01300208 -0.01803028  0.00101788  0.01232844  0.02470934]
christianity,[-0.00829391 -0.00882942  0.00642241  0.00679936  0.02009171]
christmas,[-0.01588208 -0.01073616  0.01399072 -0.00033349  0.00604637]
cia,[-0.01657222  0.00074733 -0.00712706 -0.01686437  0.02991396]
cinematography,[ 0.08941737  0.02236008 -0.02000579  0.08159113  0.02873842]
circus,[-0.00849222 -0.00533733  0.01462231  0.00086189  0.00756445]
civil war,[ 0.0064089  -0.0236162  -0.01358264 -0.00651078  0.02114139]
classic,[ 0.04243741 -0.01619936 -0.05468698  0.01928534 -0.0780778 ]
classic car,[ 0.01777677  0.01119184 -0.00988297 -0.01209726 -0.0197918 ]
classical music,[-0.00058429 -0.00843333  0.01968688  0.00566236  0.0089476 ]
claustrophobic,[ 0.03276319  0.0603781  -0.02012985  0.00101586  0.03007874]
claymation,[-0.01078358 -0.00367498  0.01715629 -0.00052456  0.00526904]
clever,[ 0.03343378  0.01545208 -0.05927425 -0.02037854 -0.04822017]
clones,[-0.02064743  0.02176281 -0.00648383  0.06040672  0.0091386 ]
cloning,[-0.02601475  0.00971827 -0.0124592   0.04530416  0.01285916]
clowns,[-0.011997    0.01201764  0.01869589 -0.00313425 -0.00804094]
coen bros,[ 0.0087114   0.01355703  0.02392267 -0.00739828 -0.01201509]
coen brothers,[-0.00582928  0.0008885   0.01687128 -0.00514689  0.00467176]
cold war,"[-4.60665724e-05 -4.56348300e-03 -1.70284071e-02 -3.35630204e-04
  2.87877848e-02]"
college,[-0.01524339 -0.01879822  0.01819022 -0.02769864 -0.00846379]
colonialism,[-0.00304612 -0.01488224  0.00139052  0.0071385   0.02073371]
colourful,[ 0.02417199 -0.00232837  0.01178588  0.07029313 -0.02029329]
comedy,[-0.07022118 -0.04777509  0.03057216 -0.0978555  -0.19785641]
comic,[-0.02383435  0.00484867 -0.00138156 -0.00619473 -0.04981355]
comic book,[-0.02962712  0.0145153  -0.01064433  0.0171548  -0.0192578 ]
comic book adaption,[-0.01979501  0.00134338 -0.00857129  0.0050129  -0.0038377 ]
comics,[-0.03346256  0.00777982 -0.0065902   0.00167173 -0.02403136]
coming of age,[ 0.02068972 -0.05048089  0.01779909 -0.01563212 -0.05586906]
coming-of-age,[ 0.01396613 -0.03563979  0.02680872 -0.01664145 -0.04248323]
communism,[ 0.00197376 -0.01280643  0.01655988 -0.00079679  0.01772113]
compassionate,[ 0.04800275 -0.04895574 -0.00050299  0.01151496  0.00040018]
competition,"[-1.38423792e-02 -1.77731744e-02  1.09868689e-02 -1.19430735e-02
 -5.83135188e-05]"
complex,[ 0.07923948  0.0456787  -0.0388776   0.01548121  0.02943716]
complex characters,[ 0.04887992 -0.00286799 -0.00100021 -0.01404357 -0.00806161]
complicated,[ 0.04703324  0.03354689 -0.03655717 -0.01601592  0.03283959]
complicated plot,[ 0.01729567  0.03465787 -0.03259381 -0.01241531  0.02949892]
computer animation,[-0.03652178 -0.02163114 -0.02021143  0.04200015 -0.02703163]
computer game,[-0.0383626   0.00931416 -0.00296493  0.0269757   0.00941011]
computers,[-0.01523896 -0.00021777 -0.01423551  0.01890166  0.01174578]
con artists,"[-6.28775365e-05  1.71996045e-03 -4.13643216e-03 -2.15559486e-02
  1.87282264e-02]"
con men,[-0.00418333 -0.00087273 -0.00831354 -0.02027617  0.01235979]
confrontational,[ 0.02006001  0.00297056  0.00115173 -0.0184274   0.00975597]
confusing,[0.01485814 0.0414276  0.00164502 0.02126928 0.0299649 ]
conspiracy,[ 0.0007721   0.02543176 -0.09357775 -0.03311763  0.0726209 ]
conspiracy theory,[-0.01822211  0.00699063 -0.02742908 -0.01827694  0.05617648]
controversial,[ 0.02043336  0.02414786  0.03375594 -0.0386595   0.03094149]
cooking,[-0.00467384 -0.01247467  0.01983901 -0.00040432  0.01130297]
cool,[-0.02466228  0.03878208 -0.06822128 -0.00014425 -0.08676898]
corny,[-0.03818741 -0.01050981 -0.0037727   0.00723068 -0.0021257 ]
corporate america,[-0.00260052 -0.0036629   0.00975447 -0.02520538  0.01855386]
corruption,[ 0.0532954   0.02168935 -0.09172912 -0.09491391  0.03815565]
costume drama,[ 0.01085022 -0.04069487 -0.00601328  0.0043646   0.04604   ]
courage,[ 0.0237264  -0.07638563 -0.06727549 -0.00343671  0.01107203]
court,[ 0.00346562 -0.01395741 -0.01157548 -0.02826456  0.037372  ]
courtroom,[-0.00024829 -0.01211088 -0.01681601 -0.03838218  0.04458815]
courtroom drama,[-0.00150027 -0.00621901 -0.0039324  -0.01996571  0.02969085]
crappy sequel,[-0.05774307  0.01302763  0.0097736   0.00249682  0.00992514]
crazy,[ 0.00681094  0.0302864   0.02556962 -0.02105195 -0.03611726]
creativity,[-0.00372101  0.0111959   0.00805861  0.06685557 -0.04282556]
creepy,[0.01430129 0.11010793 0.01253155 0.00075464 0.01290987]
crime,[ 0.03953449  0.06624116 -0.06201832 -0.09851761  0.01483395]
crime gone awry,[ 0.05415388  0.03101826  0.01660947 -0.03816287 -0.03068757]
criterion,[ 0.10960953  0.01980828  0.06658018  0.04590889 -0.00250976]
cross dressing,[-0.00624589 -0.01626082  0.02279763 -0.0163551   0.01007206]
crude humor,[-0.04341027 -0.00346346  0.00808643 -0.02902574 -0.04803709]
cuba,[-0.00618136 -0.00679128  0.01104087 -0.00814438  0.01298159]
cult,[ 0.00659016  0.05853975  0.00460671  0.00787108 -0.06217105]
cult classic,[ 0.02158115  0.09831176  0.02080473  0.00489151 -0.13220209]
cult film,[-0.00584276  0.09038223  0.03736756  0.01064171 -0.07846991]
culture clash,[ 0.03825417 -0.05059281 -0.01410078 -0.00296882 -0.00417519]
cute,[-0.03549978 -0.07613573  0.01226185 -0.00224705 -0.01119719]
cute!,[-0.04203119 -0.058883    0.02118111 -0.00528074  0.00594825]
cyberpunk,[-0.01834555  0.01832096 -0.0006475   0.04003849  0.01049025]
cyborgs,[-0.02112707  0.01118902 -0.00141673  0.01773447 -0.00043163]
cynical,[ 0.05650029  0.01876757  0.02562864 -0.00381469 -0.0125425 ]
dance,"[-5.99487960e-03 -2.54926743e-02  2.39741315e-02 -3.00020101e-03
  7.29835664e-05]"
dancing,[-0.01584462 -0.0209624   0.02622823 -0.00720232  0.00130117]
dark,[ 0.057093    0.10160016 -0.01250031  0.01197986 -0.02145427]
dark comedy,[ 0.01900011  0.04042804  0.03332063 -0.03156435 -0.03990945]
dark fantasy,[-0.01147427  0.02343645  0.01201207  0.04567292 -0.00858509]
dark hero,[ 0.01298162  0.03582681 -0.03818723 -0.0070487  -0.06162605]
dark humor,[ 0.05757486  0.07266726  0.03896019 -0.02839074 -0.08518008]
dc comics,[-0.01959764  0.00174314  0.00478308  0.0027252   0.0004186 ]
deadpan,[ 0.01112781  0.00937121  0.03767769  0.00094979 -0.02517495]
death,[ 0.02344971  0.02028397 -0.00063615 -0.00092557  0.01205735]
death penalty,[ 0.01440305 -0.00499711 -0.00115819 -0.02168927  0.02886173]
demons,[-0.01799894  0.06066456  0.0231802   0.0032826  -0.01250833]
depp & burton,[-0.01044669 -0.00223583  0.01580615  0.00133809  0.00745233]
depressing,"[ 6.16515254e-02 -6.34932831e-03  2.51992383e-02 -1.73834448e-05
 -2.30176058e-02]"
depression,[ 0.06104519 -0.02886286  0.04175267 -0.01514777 -0.03406323]
desert,[-0.00337314  0.00515621 -0.01774826  0.04237362 -0.0043646 ]
destiny,[-0.02098726 -0.07301247 -0.04767215  0.04104309 -0.01538228]
detective,[-0.00300419  0.0413023  -0.02316686 -0.04704478  0.04796084]
devil,[-0.02128154  0.02455054  0.01385173 -0.00230202  0.01487039]
dialogue,[ 0.00516614  0.02485311 -0.04308376  0.00560492 -0.03892332]
dialogue driven,[ 0.0276669   0.00800821  0.02372731 -0.01396108 -0.00978479]
dinosaurs,[-0.03373945 -0.00065239  0.0010587   0.02686801  0.00701238]
directorial debut,[ 0.01513276  0.01322327  0.01294649 -0.01654356 -0.0235057 ]
disability,[ 0.00344619 -0.02474815  0.00733979 -0.00279262  0.0016911 ]
disappointing,[-0.02237736  0.00507175 -0.00086029  0.00860923  0.01848275]
disaster,[-0.06115279  0.00873845  0.00665368  0.00513368  0.0334579 ]
disney,[-0.0317983  -0.0336697   0.00941924  0.01302284 -0.00414781]
disney animated feature,[-0.01673036 -0.01916926  0.01230128  0.00478447  0.00228399]
distopia,[ 0.01893257  0.02191843 -0.01102969  0.0356448  -0.0036635 ]
disturbing,[ 0.05677458  0.0870746   0.04307488 -0.01504205  0.02628045]
divorce,[-0.00146449 -0.04106959  0.01676868 -0.02571098  0.03250959]
doctors,[ 0.00482263  0.0089789  -0.01306015  0.00170895  0.02227972]
documentary,[ 0.0207389  -0.01626314  0.02885847 -0.01988454  0.02901751]
dog,[-0.02189248 -0.02008305  0.01291641 -0.00816737  0.01602682]
dogs,[-0.01391339 -0.01131043  0.01503697 -0.00320855  0.00976008]
dolphins,[-0.01139753 -0.00843323  0.01209757 -0.00482241  0.01424305]
downbeat,[ 0.09099549  0.02135332  0.03849958  0.01629264 -0.00590544]
dr. seuss,[-0.01288735 -0.00772207  0.01261642  0.00475606  0.0077977 ]
dragon,[-0.01623051 -0.00337176  0.0100126   0.00801947  0.00416481]
dragons,[-0.02578815 -0.00475052 -0.00367144  0.02722516 -0.00615849]
drama,[ 0.08931446 -0.06216074 -0.06769844 -0.04561464  0.00852761]
dramatic,[ 0.08499655 -0.06928844 -0.08783193 -0.02227366  0.01086434]
dreamlike,[0.01552719 0.03972873 0.05624    0.06474182 0.01165085]
dreams,[ 0.02654313  0.00330799  0.04331407  0.0578263  -0.01940894]
dreamworks,"[-1.82517262e-02 -8.65885503e-03  1.40480432e-02 -7.87691941e-05
  5.56467457e-03]"
drinking,[ 0.05400326 -0.01725803  0.02583664 -0.05879187 -0.07236563]
drug abuse,[ 0.0098838   0.00280104  0.02412775 -0.02891585 -0.01883193]
drug addiction,[ 0.01765766  0.0053203   0.0298096  -0.02403358 -0.01373097]
drugs,[ 0.0295769   0.02898178  0.03471185 -0.05798722 -0.04242728]
dumb,[-0.04842596  0.00804831  0.00887303 -0.02837084 -0.03048232]
dumb but funny,[-0.0496679   0.00498159  0.02932086 -0.04072976 -0.05015686]
dynamic cgi action,[-0.04760256  0.00572313 -0.05821983  0.05018957 -0.00819411]
dysfunctional family,[ 0.01054155  0.00083697  0.05529048 -0.0360545  -0.00354601]
dystopia,[-0.01620468  0.03128806 -0.01976044  0.06181938 -0.00324228]
dystopic future,[-0.00552319  0.02331576 -0.01835923  0.05861565 -0.0140083 ]
earnest,[ 0.0435079  -0.0589679  -0.05299492  0.0074748  -0.01908872]
easily confused with other movie(s) (title),[-0.01375178 -0.001475    0.0062336  -0.0063225   0.01163952]
east germany,[-0.00869633 -0.00523673  0.01492316 -0.00415291  0.01370245]
eccentricity,[ 0.0326108  -0.00434462  0.03608323 -0.0011967  -0.03372015]
ecology,[-0.00799918 -0.00666106  0.01088555  0.0121023   0.01537483]
educational,[-0.00086211 -0.02563046  0.00416281 -0.01536532  0.01303943]
eerie,[0.02150229 0.0536472  0.00850416 0.02746007 0.01564967]
effects,[-0.02612125  0.04499904 -0.03915488  0.07047699 -0.01228721]
